Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province (E),Company,Status,Latitude,Longitude,Approximate Volume Released (m³),Substance (E),Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture (E),Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Land Use,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program
INC2014-082,Release of Substance,6/5/2014,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.868264,-109.036068,0.0001,Natural Gas Liquids,Gas,No,2014,6/4/2014 9:39,6/4/2014 9:39,"Damage or deterioration mechanism, Equipment",Equipment Failure,"Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications;Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units","Maintenance, Tools and Equipment",,,Operation,Employee / Contractor (Onsite),8/12/2014,No,No,Release of Substance,Natural Gas Liquids,0.0001,No,Yes,,,,,,,,,,,0,OPR,Kerrobert Terminal,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Legal Subdivision At station,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-081,Release of Substance,6/3/2014,"Killam, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,52.92871,-111.88764,322,Natural Gas - Sweet,Gas,No,2014,6/2/2014 7:45,6/2/2014 7:45,"Damage or deterioration mechanism, Construction, Defective Circumferential Weld;Substandard Acts, Failure to check or monitor;Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments","Corrosion and Cracking, Defect and Deterioration, Incorrect Operation","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,No pipeline interruption,Transmission,Operation,Landowner,2/22/2017,Yes,No,Release of Substance,Natural Gas - Sweet,322,Yes,No,,,,,,,,,,,0,OPR,KILLAM NORTH LATERAL - NPS 6,168.3,15.68988187,Natural Gas,,,,,Canada,No,No,Yes,Yes,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Legal Subdivision SW 32 45 13 W4,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-080,Operation Beyond Design Limits,6/2/2014,Oakville,Ontario,Trans-Northern Pipelines Inc.,Closed,43.39419228,-79.73731816,Not Applicable,Not Applicable,Not Applicable,No,2014,5/31/2014 11:54,5/31/2014 11:54,"Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk",Incorrect Operation,"Job or system factors, Inadequate engineering, Inadequate assessment of operational readiness;Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Inadequate communications, Inadequate communication between different organizations","Engineering and Planning, Failure in communication",Short-term interruption,Transmission,Operation,Employee / Contractor (Onsite),10/12/2016,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,OAKVILLE STATION,,43.39419228,-79.73731816,Canada,Yes,Yes,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,"INC2015-002, INC2016-008","Station/Facility, Pumping, Instrumentation and controls;Pipeline, Instrumentation and controls",,NPS 10,,,,,,,,6447,7368.5,,,,,,,,,,,,,,,,No,,,Yes,,,No,Yes,,,No
INC2014-079,Fire,6/2/2014,Saint-André-Est,Quebec,Enbridge Pipelines Inc.,Closed,45.562805,-74.336053,Not Applicable,Not Applicable,Not Applicable,No,2014,5/30/2014 2:20,6/2/2014 2:20,"Substandard Conditions, Weather Related, Lightning;Substandard Acts, Improper position for task","External Interference, Incorrect Operation","Job or system factors, Inadequate communications, Inadequate communication methods ;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Failure in communication, Standards and Procedures",,,Operation,Employee / Contractor (Onsite),3/3/2015,No,No,Fire,,,,No,,Other Event (Nature or 3rd Party),,,,,,,,,0,OPR,Line 9,"508.00000000, 762.00000000",859.7003376,Crude Oil,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),11 to 45 dwelling units,Mile Post 2209-9477,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-078,Release of Substance,6/2/2014,Morinville,Alberta,Alliance Pipeline Ltd.,Closed,53.818798,-113.584867,160000,Natural Gas - Sweet,Gas,Yes,2014,6/1/2014 11:50,6/2/2014 11:50,"Damage or deterioration mechanism, Equipment, Gasket/O-ring;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Defective tools, equipment or materials","Equipment Failure, External Interference, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,Transmission,Operation,Landowner,2/20/2017,Yes,No,Release of Substance,Natural Gas - Sweet,160000,No,No,,,,,,,,,,,0,OPR,Alliance - Morinville Compressor Station,,,,,,,,Canada,Yes,Yes,No,No,Unknown Land Use (Historical Data Migration),46 or more dwelling units,Legal Subdivision 3-12-56-25-W4,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Valve, Pressure relief, Flange, Gasket/O-ring",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-076,Release of Substance,5/28/2014,Not specified,Manitoba,TransCanada PipeLines Limited,Closed,49.911934,-98.517574,Not Provided,Natural Gas - Sweet,Gas,No,2014,5/27/2014 4:10,5/27/2014 4:10,"Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to react or correct",Incorrect Operation,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,,,Operation,Landowner,8/15/2017,Yes,No,Release of Substance,Natural Gas - Sweet,,No,No,,,,,,,,,,,0,OPR,Line 100-4,1066.8,1422.828067,Natural Gas,,,,,Canada,Yes,Yes,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-074,Release of Substance,5/26/2014,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,53.522635,-112.075565,1114,Natural Gas - Sweet,Gas,No,2014,5/26/2014 5:00,5/26/2014 5:00,"Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,,Transmission,Operation,Landowner,2/22/2017,Yes,No,Release of Substance,Natural Gas - Sweet,1114,Yes,No,,,,,,,,,,,0,OPR,NORTH LATERAL EXTENSION LOOP - NPS 20,508,40.08068498,Natural Gas,,,,,Canada,No,No,Yes,Yes,Agricultural Cropland,10 or fewer dwelling units,Legal Subdivision NE 25 52 15 W4,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-071,Release of Substance,5/14/2014,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.146303,-120.669169,Not Provided,Natural Gas - Sweet,Gas,No,2014,,5/12/2014 12:00,,To be determined,,To be determined,,,Operation,,3/26/2019,No,No,Release of Substance,Natural Gas - Sweet,,No,No,,,,,,,,,,,0,PPR,WEI - McMahon Gas Plant (Taylor Gas Plant),,,,,,,,Canada,No,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-068,Release of Substance,5/6/2014,Dartmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.665206,-63.567743,30,Natural Gas - Sweet,Gas,No,2014,5/5/2014 10:00,5/5/2014 10:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,,Maintenance,Employee / Contractor (Onsite),10/1/2014,Yes,No,Release of Substance,Natural Gas - Sweet,30,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Gate, Seal/Packing",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-067,Release of Substance,5/2/2014,Irma,Alberta,Alliance Pipeline Ltd.,Closed,53.031216,-111.221509,Not Provided,Natural Gas - Sweet,Gas,No,2014,4/29/2014 12:00,4/29/2014 12:00,"Substandard Acts, Using equipment improperly;Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Personal factors, Lack of knowledge, Lack of experience",Human Factors,,,Construction,Employee / Contractor (Onsite),6/10/2014,No,No,Release of Substance,Natural Gas - Sweet,,No,Yes,,,,,,,,,,,0,OPR,MAINLINE,"1067.00000000, 914.00000000",1551.609274,Natural Gas,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-065,Release of Substance,5/1/2014,Penhold,Alberta,NOVA Gas Transmission Ltd.,Closed,52.173034,-113.83314,148,Natural Gas - Sweet,Gas,No,2014,4/30/2014 4:30,4/30/2014 4:30,"Damage or deterioration mechanism, Geotechnical Failure, Frost heave",Natural Force Damage,"Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures",Engineering and Planning,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),3/1/2017,Yes,No,Release of Substance,Natural Gas - Sweet,148,No,No,,,,,,,,,,,0,OPR,NGTL - Joffre Sales Lateral NPS-10,,,,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Fitting, Nipple, Thread;Station/Facility, Compression, Valve, Gate, Stem",1987,NPS 1/2,Carbon Steel,,80,,,,7500,,,,1,,1987,1987,,,,,,,,,,,No,,,No,4/30/2014,Non-destructive examination (NDE),Yes,No,4/30/2014,Testing of Functionality,Yes
INC2014-064,"Release of Substance, Adverse Environmental Effects",5/1/2014,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.653246,-122.684823,6.5,Amine,Miscellaneous,Yes,2014,4/30/2014 11:20,4/30/2014 11:20,"Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,,,Maintenance,,3/25/2019,No,No,"Adverse Environmental Effects, Release of Substance",Amine,6.5,No,No,,,,,,,,,,,0,PPR,Fort Nelson Gas Plant,,,,,,,,Canada,No,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-062,Release of Substance,4/28/2014,Conklin,Alberta,NOVA Gas Transmission Ltd.,Closed,55.569186,-110.720302,0.001,Natural Gas - Sweet,Gas,No,2014,4/28/2014 3:20,4/28/2014 3:20,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body;Damage or deterioration mechanism, Construction, Defective Circumferential Weld;Damage or deterioration mechanism, Construction, Defective Branch Connection Weld;Substandard Acts, Improper position for task;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to check or monitor;Substandard Acts, Failure to communicate or coordinate;Substandard Conditions, Congestion or restricted action;Substandard Conditions, Inadequate instructions or procedures","Defect and Deterioration, External Interference, Incorrect Operation","Personal factors, Physical or physiological stress, Constrained movement;Personal factors, Lack of skill, Inadequate practice;Job or system factors, Inadequate engineering, Inadequate consideration of human factors or ergonomics;Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate purchasing, Inadequate receiving inspection and acceptance ;Job or system factors, Inadequate communications, Inadequate vertical communication between supervisor and person;Job or system factors, Inadequate work standards, Inadequate communication of standards, Distribution","Engineering and Planning, Failure in communication, Human Factors, Inadequate Procurement, Standards and Procedures",Short-term interruption,Transmission,Construction,Employee / Contractor (Onsite),2/22/2017,No,No,Release of Substance,Natural Gas - Sweet,0.001,No,No,,,,,,,,,,,0,OPR,GRAHAM LATERAL LOOP - NPS 12,323.9,56.36135218,Natural Gas,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-061,Release of Substance,4/24/2014,Mattice,Ontario,TransCanada PipeLines Limited,Closed,49.586667,-83.159167,0.0001,Natural Gas - Sweet,Gas,No,2014,4/24/2014 11:00,4/24/2014 11:00,"Damage or deterioration mechanism, Geotechnical Failure, Frost heave;Substandard Acts, Failure to secure;Substandard Acts, Failure to identify hazard or risk","Incorrect Operation, Natural Force Damage","Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,,Transmission,Operation,Employee / Contractor (Onsite),11/10/2016,Yes,No,Release of Substance,Natural Gas - Sweet,0.0001,No,No,,,,,,,,,,,0,OPR,TCPL - Station 92 (Mattice Compressor Station),,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Piping, Body",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-060,Release of Substance,4/19/2014,Sunnybrae,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.375146,-62.452544,56,Natural Gas - Sweet,Gas,No,2014,,4/19/2014 6:00,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units",Maintenance,,,Operation,Employee / Contractor (Onsite),6/9/2014,Yes,No,Release of Substance,Natural Gas - Sweet,56,No,No,,,,,,,,,,,0,OPR,Mainline,"762.00000000, 863.60000000",574.8807991,Natural Gas,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units,Kilometer Post 76,Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Pressure relief, Other (please explain)",,NPS 1/2,,,,,,,0,,,,,,2001,,,,,,,,,,,,No,Rebuilt,12/15/2014,No,,,No,No,12/15/2014,Repair,No
INC2014-059,Release of Substance,4/18/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,15,Crude Oil - Sweet,Liquid,No,2014,,4/18/2014 4:30,"Damage or deterioration mechanism, Equipment, Gasket/O-ring;Damage or deterioration mechanism, Geotechnical Failure, Freeze-thaw;Substandard Conditions, Inadequate instructions or procedures","Equipment Failure, External Interference, Natural Force Damage","Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,,Transmission,Operation,Employee / Contractor (Onsite),4/22/2015,Yes,No,Release of Substance,Crude Oil - Sweet,15,No,Yes,,,,,,,,,,,0,OPR,,,,,,Valve,,,Canada,Yes,No,No,No,Developed Land - Industrial,Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Storage, Tank, Aboveground",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-058,Release of Substance,4/13/2014,Savona,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,50.749343,-120.857245,1522790,Natural Gas - Sweet,Gas,Yes,2014,4/13/2014 4:00,4/13/2014 4:00,"Substandard Acts, Failure to follow procedure or policy or practice;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Equipment Failure, Incorrect Operation","Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly;Personal factors, Lack of knowledge, Unspecified","Human Factors, Maintenance, Tools and Equipment",,,Operation,Employee / Contractor (Onsite),7/25/2016,Yes,No,Release of Substance,Natural Gas - Sweet,1522790,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Valve, Pressure relief, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-056,"Release of Substance, Adverse Environmental Effects",4/10/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.569092,-121.944662,3,Crude Oil - Sweet,Liquid,Yes,2014,4/10/2014 11:15,4/10/2014 11:15,"Substandard Acts, Failure to secure",Incorrect Operation,"Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Maintenance, Standards and Procedures",,,Operation,,3/30/2016,No,No,"Adverse Environmental Effects, Release of Substance",Crude Oil - Sweet,3,No,No,,,,,,,,,,Other Pollution (Contamination),0,PPR,,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-055,Release of Substance,4/10/2014,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.273315,-66.063308,1,Natural Gas - Sweet,Gas,No,2014,4/10/2014 9:00,4/10/2014 9:00,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance",,,Operation,Landowner,9/2/2014,Yes,No,Release of Substance,Natural Gas - Sweet,1,No,No,,,,,,,,,,,0,OPR,Egbert Strret Meter Station,,,,,,,,Canada,Yes,Yes,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Valve, Gate, Seat",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-053,Fire,4/9/2014,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.641345,-111.270617,Not Applicable,Not Applicable,Not Applicable,No,2014,4/9/2014 4:00,4/9/2014 4:00,"Substandard Acts, Improper placement;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Job or system factors, Inadequate purchasing, Improper salvage and/or waste disposal ;Personal factors, Abuse or misuse, Improper conduct that is not condoned, Unintentional","Human Factors, Inadequate Procurement",,,Operation,Employee / Contractor (Onsite),11/2/2015,No,No,Fire,,,,No,,Housekeeping,,,,,,,,,0,OPR,Hardisty terminal,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Pump Station,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-052,Release of Substance,4/7/2014,Elbow,Saskatchewan,Kinder Morgan Cochin ULC,Closed,51.17738,-106.588176,Not Provided,Propane,Gas,No,2014,4/7/2014 3:30,4/7/2014 3:30,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate engineering, Inadequate monitoring of construction","Engineering and Planning, Human Factors",,,Maintenance,Employee / Contractor (Onsite),11/12/2014,Yes,No,Release of Substance,Propane,0,No,No,,,,,,,,,,,0,OPR,Elbow Pump Station Sask,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Station/Facility, Pumping, Fitting",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-050,Release of Substance,4/1/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.542908,-113.36445,2.5,Crude Oil - Sour,Liquid,Yes,2014,,3/31/2014 3:30,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Damage or deterioration mechanism, Cracking, Mechanical Damage Delayed Cracking;Substandard Conditions, Weather Related, Frozen components","Corrosion and Cracking, Equipment Failure, External Interference","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,,,Maintenance,Employee / Contractor (Onsite),2/6/2015,Yes,No,Release of Substance,Crude Oil - Sour,2.5,No,Yes,,,,,,,,,,,0,OPR,Line 2,"1219.00000000, 609.40000000, 610.00000000",1282.304863,Crude Oil,,Meter,,,Canada,No,No,Yes,No,Developed Land - Industrial,Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,REM-0284,"Pipeline, Valve, Gate, Body",,,,,40,,,,0,,,,,1972,1972,,,,,,,,,,,,No,Removal,4/1/2014,No,,,No,No,4/1/2014,Repair,No
INC2014-048,Release of Substance,3/27/2014,Bassano,Alberta,NOVA Gas Transmission Ltd.,Closed,50.78931,-112.46998,1110,Natural Gas - Sweet,Gas,No,2014,,3/27/2014 5:00,"Damage or deterioration mechanism, Cracking, Fatigue;Damage or deterioration mechanism, Geotechnical Failure, Frost heave","Corrosion and Cracking, Natural Force Damage","Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Excessive wear and tear, Inadequate maintenance","Engineering and Planning, Maintenance",Short-term interruption,,Operation,Employee / Contractor (Onsite),1/30/2017,Yes,No,Release of Substance,Natural Gas - Sweet,1110,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-047,Release of Substance,3/25/2014,Wainwright,Alberta,Kinder Morgan Cochin ULC,Closed,52.922575,-110.96759,Not Provided,Mixed HVP Hydrocarbons,Gas,No,2014,3/25/2014 8:00,3/25/2014 8:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,,Operation,Employee / Contractor (Onsite),9/29/2014,Yes,No,Release of Substance,Mixed HVP Hydrocarbons,0,No,No,,,,,,,,,,,0,OPR,Cochin - Fabyan Pump Station,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Pumping, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-045,Release of Substance,3/23/2014,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.65351,-122.68466,6.3,Mixed HVP Hydrocarbons,Gas,No,2014,3/22/2014 11:59,3/22/2014 11:59,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,,,Operation,Employee / Contractor (Onsite),1/6/2015,Yes,No,Release of Substance,Mixed HVP Hydrocarbons,6.3,No,No,,,,,,,,,,,0,OPR,"24 Beaver River Pipeline""","609.60000000, 610.00000000",173.4713372,Natural Gas Sour,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Gate, Seal/Packing",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,6/15/2013,Visual,Yes,No,6/15/2013,Testing of Functionality,Yes
INC2014-044,Release of Substance,3/17/2014,Midale,Saskatchewan,Enbridge Pipelines Inc.,Closed,49.450607,-103.338728,1.75,Crude Oil - Sweet,Liquid,No,2014,3/15/2014 3:00,3/15/2014 3:00,"Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,,,Maintenance,Employee / Contractor (Onsite),12/16/2015,No,No,Release of Substance,Crude Oil - Sweet,1.75,No,No,,,,,,,,,,,0,OPR,EPI- Midale Terminal,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2014-043,Release of Substance,3/14/2014,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.635343,-111.267485,0.001,Natural Gas - Sweet,Gas,No,2014,3/14/2014 1:32,3/14/2014 1:32,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,,Operation,Employee / Contractor (Onsite),7/2/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0.001,No,No,,,,,,,,,,,0,OPR,Line 1,"508.00000000, 864.00000000",1255.999121,Crude Oil,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Pumping, Pump",,,,,,,,,0,,,,,,,,,,,,,,,,,,No,Replacement,,No,,,No,No,,Replacement,No
